==4704== NVPROF is profiling process 4704, command: ./gauss_gpu img/src/mountain_5120.jpg img/dest/mountain_5120.jpg
==4704== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==4704== Profiling application: ./gauss_gpu img/src/mountain_5120.jpg img/dest/mountain_5120.jpg
Width:5120, Height:3413 Size(in Bytes):209694720
Time: 81.964010
Done!
==4704== Profiling result:
==4704== Metric result:
Invocations                               Metric Name                                                    Metric Description         Min         Max         Avg
Device "NVIDIA GeForce GT 1030 (0)"
    Kernel: ComputeConvolution(unsigned char*, unsigned char const *, int, int, float*, int)
          3                             inst_per_warp                                                 Instructions per warp  1.4267e+03  1.4267e+03  1.4267e+03
          3                         branch_efficiency                                                     Branch Efficiency     100.00%     100.00%     100.00%
          3                 warp_execution_efficiency                                             Warp Execution Efficiency      99.91%      99.91%      99.91%
          3         warp_nonpred_execution_efficiency                              Warp Non-Predicated Execution Efficiency      97.82%      97.82%      97.82%
          3                      inst_replay_overhead                                           Instruction Replay Overhead    0.000024    0.000024    0.000024
          3      shared_load_transactions_per_request                           Shared Memory Load Transactions Per Request    0.000000    0.000000    0.000000
          3     shared_store_transactions_per_request                          Shared Memory Store Transactions Per Request    0.000000    0.000000    0.000000
          3       local_load_transactions_per_request                            Local Memory Load Transactions Per Request    0.000000    0.000000    0.000000
          3      local_store_transactions_per_request                           Local Memory Store Transactions Per Request    0.000000    0.000000    0.000000
          3              gld_transactions_per_request                                  Global Load Transactions Per Request    9.994145    9.994145    9.994145
          3              gst_transactions_per_request                                 Global Store Transactions Per Request    7.992974    7.992974    7.992974
          3                 shared_store_transactions                                             Shared Store Transactions           0           0           0
          3                  shared_load_transactions                                              Shared Load Transactions           0           0           0
          3                   local_load_transactions                                               Local Load Transactions           0           0           0
          3                  local_store_transactions                                              Local Store Transactions           0           0           0
          3                          gld_transactions                                              Global Load Transactions   884908802   884908802   884908802
          3                          gst_transactions                                             Global Store Transactions     4368640     4368640     4368640
          3                  sysmem_read_transactions                                       System Memory Read Transactions           0           0           0
          3                 sysmem_write_transactions                                      System Memory Write Transactions           5           5           5
          3                      l2_read_transactions                                                  L2 Read Transactions   427187561   427192576   427189340
